Building,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
B817,0.308,0.571,0.666,0.7,0.7,0.7,0.7,0.643,0.575,0.518,0.508,0.456,0.426,0.27,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.352,0.331
B818,0.424,0.576,0.477,0.532,0.53,0.7,0.7,0.625,0.7,0.571,0.69,0.489,0.396,0.268,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.312,0.324
B819,0.433,0.559,0.609,0.677,0.597,0.603,0.7,0.681,0.633,0.7,0.524,0.461,0.368,0.343,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.203,0.278,0.434
B820,0.404,0.612,0.673,0.649,0.7,0.628,0.614,0.7,0.7,0.7,0.582,0.354,0.293,0.327,0.204,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.235,0.516
B821,0.503,0.467,0.683,0.7,0.576,0.7,0.7,0.7,0.7,0.625,0.462,0.306,0.263,0.223,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.251,0.427
B822,0.514,0.539,0.581,0.7,0.64,0.7,0.7,0.614,0.697,0.448,0.54,0.394,0.301,0.299,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.262,0.285
B823,0.498,0.519,0.592,0.672,0.7,0.7,0.7,0.7,0.7,0.7,0.66,0.382,0.321,0.241,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.252,0.364,0.345
B824,0.296,0.572,0.7,0.682,0.632,0.7,0.7,0.689,0.7,0.7,0.633,0.433,0.298,0.224,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.219,0.369,0.451
B825,0.342,0.463,0.549,0.7,0.613,0.7,0.693,0.551,0.7,0.665,0.54,0.376,0.445,0.211,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.342,0.321
B826,0.519,0.365,0.617,0.7,0.669,0.7,0.7,0.543,0.7,0.606,0.501,0.518,0.39,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.369,0.36
B827,0.366,0.517,0.557,0.595,0.7,0.7,0.7,0.667,0.7,0.7,0.472,0.412,0.36,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.254,0.325
B828,0.299,0.486,0.531,0.607,0.613,0.7,0.7,0.7,0.536,0.7,0.696,0.455,0.374,0.268,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.323,0.311
B829,0.407,0.483,0.506,0.592,0.639,0.7,0.7,0.612,0.7,0.7,0.635,0.408,0.407,0.267,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.247,0.431
B830,0.312,0.525,0.7,0.609,0.656,0.625,0.635,0.598,0.614,0.605,0.559,0.542,0.376,0.277,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.345,0.489
B831,0.396,0.478,0.643,0.7,0.559,0.7,0.7,0.664,0.7,0.7,0.501,0.486,0.276,0.271,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.245,0.354,0.467
B832,0.432,0.498,0.524,0.528,0.7,0.7,0.7,0.7,0.7,0.7,0.443,0.577,0.405,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.299,0.354
B833,0.383,0.564,0.53,0.7,0.7,0.7,0.7,0.7,0.525,0.584,0.488,0.451,0.404,0.264,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.243,0.284,0.46
B834,0.347,0.5,0.689,0.7,0.595,0.695,0.7,0.621,0.7,0.581,0.468,0.539,0.361,0.299,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.251,0.53
B835,0.449,0.615,0.671,0.555,0.697,0.7,0.7,0.7,0.7,0.624,0.439,0.367,0.296,0.2,0.201,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.322,0.359
B836,0.382,0.618,0.664,0.577,0.559,0.7,0.677,0.672,0.7,0.7,0.414,0.517,0.343,0.28,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.329,0.495
B837,0.53,0.512,0.584,0.7,0.7,0.7,0.7,0.639,0.7,0.7,0.668,0.425,0.336,0.208,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.28,0.34
B838,0.407,0.515,0.633,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.394,0.377,0.207,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.234,0.34,0.453
B839,0.354,0.537,0.612,0.689,0.7,0.7,0.627,0.674,0.7,0.7,0.7,0.482,0.404,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.247,0.338
B840,0.378,0.465,0.7,0.68,0.7,0.69,0.7,0.7,0.7,0.687,0.631,0.348,0.319,0.334,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.254,0.397
B841,0.408,0.576,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.666,0.402,0.259,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.252,0.356,0.488
B842,0.358,0.4,0.54,0.602,0.7,0.618,0.616,0.7,0.7,0.7,0.553,0.562,0.383,0.226,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.369,0.393
B843,0.387,0.403,0.567,0.561,0.636,0.7,0.7,0.7,0.7,0.607,0.608,0.54,0.266,0.266,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.245,0.369,0.385
B844,0.499,0.552,0.515,0.535,0.63,0.7,0.7,0.683,0.626,0.7,0.7,0.542,0.347,0.235,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.225,0.271,0.428
B845,0.267,0.586,0.587,0.689,0.7,0.7,0.7,0.7,0.6,0.518,0.631,0.41,0.368,0.255,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.208,0.359,0.316
B846,0.388,0.585,0.622,0.645,0.661,0.7,0.7,0.647,0.677,0.7,0.614,0.544,0.348,0.246,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.208,0.361,0.275
B847,0.394,0.588,0.549,0.611,0.7,0.7,0.692,0.648,0.676,0.7,0.548,0.331,0.393,0.263,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.253,0.446
B848,0.398,0.491,0.502,0.7,0.7,0.7,0.7,0.7,0.7,0.548,0.592,0.513,0.428,0.204,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.209,0.269,0.387
B849,0.362,0.551,0.697,0.7,0.7,0.7,0.7,0.66,0.7,0.572,0.521,0.578,0.24,0.284,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.234,0.439
B850,0.409,0.599,0.555,0.7,0.7,0.684,0.699,0.7,0.7,0.613,0.662,0.434,0.381,0.224,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.231,0.383,0.386
B851,0.457,0.458,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.624,0.489,0.507,0.37,0.28,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.259,0.412
B852,0.518,0.467,0.652,0.489,0.604,0.591,0.7,0.7,0.7,0.7,0.569,0.489,0.359,0.277,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.268,0.318
B853,0.403,0.612,0.67,0.7,0.7,0.7,0.7,0.7,0.585,0.671,0.521,0.448,0.39,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.289,0.332
B854,0.335,0.349,0.568,0.7,0.7,0.7,0.69,0.7,0.7,0.496,0.687,0.426,0.418,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.35,0.523
B855,0.425,0.431,0.607,0.607,0.7,0.7,0.592,0.7,0.7,0.7,0.586,0.363,0.278,0.249,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.277,0.384,0.399
B856,0.333,0.616,0.526,0.7,0.7,0.648,0.7,0.7,0.7,0.699,0.48,0.466,0.31,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.32,0.318
B857,0.384,0.614,0.7,0.568,0.7,0.7,0.7,0.7,0.59,0.647,0.578,0.499,0.306,0.247,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.31,0.405
B858,0.329,0.432,0.68,0.588,0.609,0.7,0.7,0.7,0.7,0.675,0.561,0.523,0.429,0.215,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.335,0.46
B859,0.403,0.528,0.485,0.573,0.691,0.7,0.7,0.7,0.7,0.579,0.666,0.468,0.371,0.271,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.242,0.282
B860,0.309,0.65,0.546,0.656,0.7,0.7,0.7,0.7,0.645,0.457,0.7,0.523,0.377,0.314,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.307,0.337
B861,0.332,0.449,0.45,0.57,0.607,0.7,0.641,0.7,0.551,0.667,0.592,0.517,0.318,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.276,0.382
B862,0.465,0.595,0.7,0.654,0.7,0.7,0.589,0.7,0.7,0.563,0.65,0.335,0.322,0.216,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.203,0.319,0.323
B863,0.479,0.542,0.51,0.7,0.7,0.7,0.7,0.7,0.624,0.668,0.7,0.44,0.448,0.221,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.222,0.317,0.332
B864,0.344,0.503,0.458,0.7,0.568,0.7,0.7,0.7,0.7,0.556,0.668,0.399,0.286,0.283,0.216,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.27,0.366
B865,0.359,0.36,0.563,0.579,0.7,0.7,0.7,0.7,0.7,0.7,0.508,0.426,0.29,0.249,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.247,0.362,0.404
B866,0.404,0.371,0.633,0.7,0.7,0.7,0.7,0.7,0.7,0.489,0.485,0.394,0.364,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.23,0.433
B867,0.398,0.391,0.564,0.7,0.648,0.7,0.631,0.7,0.7,0.586,0.599,0.532,0.412,0.251,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.345,0.404
B868,0.365,0.577,0.597,0.7,0.549,0.7,0.617,0.7,0.7,0.559,0.571,0.361,0.394,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.259,0.374,0.419
B869,0.5,0.587,0.547,0.665,0.668,0.692,0.7,0.7,0.543,0.7,0.469,0.544,0.398,0.271,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.274,0.372,0.391
B870,0.382,0.504,0.685,0.7,0.7,0.7,0.7,0.7,0.607,0.521,0.671,0.593,0.429,0.269,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.327,0.377
B871,0.365,0.543,0.7,0.7,0.7,0.612,0.7,0.672,0.7,0.622,0.611,0.498,0.317,0.254,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.307,0.474
B872,0.494,0.623,0.7,0.7,0.7,0.632,0.7,0.7,0.7,0.504,0.589,0.527,0.366,0.308,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.279,0.314,0.318
B873,0.322,0.43,0.648,0.7,0.7,0.7,0.572,0.616,0.642,0.519,0.475,0.482,0.366,0.245,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.345,0.484
B874,0.487,0.514,0.611,0.7,0.7,0.7,0.699,0.678,0.7,0.557,0.7,0.418,0.412,0.238,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.275,0.247,0.421
B875,0.29,0.636,0.507,0.572,0.7,0.7,0.699,0.7,0.7,0.558,0.686,0.509,0.406,0.219,0.212,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.301,0.336
B876,0.501,0.458,0.684,0.514,0.612,0.7,0.7,0.64,0.541,0.521,0.608,0.408,0.423,0.235,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.235,0.246,0.328
B877,0.517,0.586,0.588,0.7,0.614,0.7,0.7,0.7,0.6,0.482,0.519,0.421,0.379,0.252,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.227,0.323,0.459
B878,0.539,0.337,0.623,0.57,0.7,0.7,0.7,0.7,0.7,0.647,0.607,0.387,0.364,0.285,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.239,0.248,0.389
B879,0.267,0.407,0.505,0.559,0.673,0.7,0.577,0.7,0.7,0.7,0.55,0.522,0.36,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.203,0.336,0.313
B880,0.5,0.379,0.572,0.7,0.7,0.618,0.7,0.7,0.553,0.583,0.572,0.447,0.316,0.217,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.254,0.309,0.413
B881,0.382,0.483,0.587,0.7,0.7,0.7,0.695,0.7,0.653,0.7,0.643,0.382,0.317,0.215,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.289,0.453
B882,0.384,0.578,0.545,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.502,0.436,0.399,0.217,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.225,0.333,0.338
B883,0.488,0.498,0.7,0.7,0.604,0.653,0.7,0.7,0.547,0.7,0.505,0.369,0.298,0.237,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.291,0.418
B884,0.378,0.505,0.665,0.603,0.7,0.7,0.7,0.639,0.559,0.662,0.633,0.429,0.264,0.239,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.297,0.359
B885,0.441,0.616,0.7,0.7,0.661,0.7,0.7,0.7,0.666,0.7,0.506,0.417,0.274,0.215,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.226,0.355
B886,0.5,0.484,0.417,0.672,0.7,0.7,0.7,0.667,0.66,0.549,0.64,0.32,0.289,0.294,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.344,0.437
B887,0.345,0.584,0.531,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.65,0.345,0.384,0.256,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.238,0.327,0.336
B888,0.271,0.406,0.7,0.579,0.678,0.688,0.7,0.664,0.678,0.656,0.549,0.436,0.309,0.29,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.261,0.347,0.454
B889,0.531,0.493,0.685,0.7,0.636,0.7,0.7,0.7,0.598,0.552,0.473,0.586,0.359,0.288,0.228,0.2,0.2,0.2,0.2,0.2,0.2,0.221,0.271,0.465
B890,0.434,0.356,0.448,0.673,0.674,0.7,0.7,0.7,0.649,0.678,0.622,0.609,0.366,0.272,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.217,0.2,0.432
B891,0.405,0.431,0.539,0.636,0.7,0.7,0.7,0.7,0.7,0.624,0.548,0.526,0.225,0.234,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.261,0.236,0.363
B892,0.393,0.451,0.693,0.52,0.7,0.697,0.7,0.636,0.7,0.7,0.646,0.342,0.32,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.303,0.407
B893,0.521,0.511,0.693,0.653,0.7,0.7,0.64,0.7,0.597,0.7,0.428,0.493,0.436,0.231,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.214,0.376,0.433
B894,0.408,0.467,0.534,0.581,0.7,0.7,0.7,0.697,0.684,0.471,0.643,0.506,0.386,0.232,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.279,0.267
B895,0.348,0.542,0.632,0.7,0.7,0.7,0.7,0.7,0.64,0.7,0.397,0.452,0.425,0.246,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.264,0.309
B896,0.348,0.41,0.449,0.7,0.7,0.7,0.7,0.557,0.7,0.558,0.566,0.517,0.389,0.262,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.295,0.333
B897,0.448,0.419,0.7,0.7,0.7,0.7,0.654,0.7,0.608,0.604,0.596,0.473,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.328,0.505
B898,0.291,0.633,0.618,0.537,0.649,0.7,0.682,0.7,0.697,0.525,0.592,0.478,0.399,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.302,0.414
B899,0.459,0.476,0.605,0.658,0.652,0.7,0.7,0.7,0.7,0.554,0.57,0.416,0.294,0.27,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.328,0.457
B900,0.432,0.478,0.587,0.532,0.7,0.7,0.661,0.7,0.564,0.474,0.633,0.536,0.366,0.238,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.242,0.317,0.47
B901,0.496,0.559,0.63,0.525,0.565,0.7,0.7,0.7,0.653,0.591,0.614,0.566,0.266,0.328,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.353,0.398
B902,0.441,0.461,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.531,0.534,0.354,0.232,0.243,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.276,0.301,0.285
B903,0.488,0.537,0.45,0.7,0.7,0.7,0.7,0.658,0.7,0.534,0.645,0.543,0.267,0.235,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.299,0.393
B904,0.397,0.532,0.533,0.7,0.6,0.7,0.7,0.612,0.7,0.7,0.605,0.326,0.269,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.226,0.492
B905,0.377,0.657,0.585,0.7,0.57,0.7,0.7,0.7,0.7,0.7,0.657,0.425,0.361,0.33,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.203,0.318,0.433
B906,0.446,0.475,0.474,0.7,0.678,0.7,0.7,0.7,0.7,0.493,0.654,0.58,0.346,0.344,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.324,0.373
B907,0.329,0.663,0.552,0.689,0.606,0.7,0.617,0.7,0.7,0.566,0.572,0.344,0.36,0.234,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.244,0.391,0.472
B908,0.351,0.556,0.566,0.7,0.7,0.7,0.642,0.7,0.7,0.664,0.425,0.315,0.276,0.34,0.205,0.2,0.2,0.2,0.2,0.2,0.2,0.228,0.27,0.341
B909,0.316,0.625,0.7,0.7,0.57,0.7,0.7,0.7,0.7,0.639,0.53,0.511,0.274,0.208,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.281,0.388
B910,0.324,0.518,0.7,0.7,0.601,0.7,0.7,0.57,0.692,0.639,0.606,0.458,0.361,0.222,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.233,0.394
B911,0.39,0.578,0.578,0.606,0.7,0.7,0.7,0.7,0.54,0.65,0.435,0.392,0.372,0.247,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.24,0.245,0.494
B912,0.406,0.648,0.606,0.537,0.7,0.645,0.7,0.7,0.7,0.52,0.569,0.374,0.371,0.297,0.218,0.2,0.2,0.2,0.2,0.2,0.2,0.202,0.323,0.478
B913,0.432,0.414,0.7,0.493,0.7,0.7,0.7,0.7,0.58,0.525,0.489,0.341,0.356,0.224,0.204,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.291,0.322
B914,0.478,0.346,0.633,0.662,0.7,0.7,0.7,0.7,0.63,0.7,0.554,0.335,0.402,0.229,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.207,0.333,0.368
B915,0.418,0.386,0.7,0.7,0.651,0.7,0.7,0.7,0.7,0.523,0.7,0.451,0.397,0.248,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.242,0.273,0.462
B916,0.303,0.443,0.515,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.486,0.49,0.389,0.314,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.272,0.447
B917,0.404,0.614,0.7,0.689,0.681,0.7,0.7,0.693,0.7,0.635,0.511,0.429,0.375,0.254,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.444
B918,0.404,0.607,0.7,0.7,0.7,0.566,0.7,0.7,0.7,0.617,0.7,0.424,0.371,0.203,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.209,0.206,0.415
B919,0.415,0.643,0.7,0.7,0.7,0.61,0.7,0.7,0.7,0.7,0.642,0.473,0.41,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.202,0.324,0.322
B920,0.374,0.632,0.553,0.7,0.7,0.7,0.686,0.7,0.7,0.597,0.677,0.53,0.451,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.35,0.375
B921,0.489,0.583,0.625,0.649,0.697,0.7,0.7,0.7,0.7,0.624,0.557,0.563,0.308,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.235,0.458
B922,0.278,0.5,0.461,0.681,0.7,0.62,0.7,0.7,0.7,0.7,0.684,0.544,0.461,0.208,0.214,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.299,0.51
B923,0.441,0.517,0.673,0.513,0.7,0.699,0.7,0.689,0.586,0.578,0.623,0.568,0.329,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.226,0.271,0.408
B924,0.45,0.402,0.7,0.657,0.7,0.7,0.7,0.7,0.7,0.534,0.509,0.507,0.252,0.339,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.289,0.455
B925,0.368,0.395,0.7,0.598,0.7,0.7,0.7,0.7,0.7,0.632,0.562,0.459,0.443,0.303,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.341,0.363
B926,0.326,0.374,0.486,0.7,0.7,0.662,0.7,0.656,0.7,0.658,0.556,0.383,0.291,0.289,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.263,0.236,0.453
B927,0.326,0.617,0.7,0.609,0.7,0.625,0.7,0.7,0.604,0.7,0.434,0.461,0.384,0.277,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.339,0.45
B928,0.453,0.412,0.7,0.503,0.7,0.7,0.652,0.642,0.7,0.636,0.419,0.503,0.361,0.272,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.334,0.374
B929,0.469,0.598,0.697,0.678,0.661,0.7,0.7,0.694,0.7,0.587,0.7,0.401,0.423,0.329,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.235,0.353
B930,0.479,0.517,0.484,0.7,0.624,0.7,0.7,0.7,0.697,0.606,0.636,0.33,0.407,0.212,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.33,0.317
B931,0.377,0.641,0.494,0.7,0.7,0.7,0.7,0.7,0.511,0.7,0.664,0.351,0.299,0.32,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.425
B932,0.377,0.413,0.518,0.627,0.658,0.7,0.617,0.7,0.7,0.7,0.666,0.386,0.361,0.2,0.223,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.327,0.305
B933,0.51,0.552,0.437,0.7,0.7,0.7,0.7,0.7,0.52,0.545,0.654,0.547,0.298,0.214,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.269,0.428
B934,0.42,0.439,0.602,0.67,0.7,0.551,0.7,0.7,0.566,0.511,0.605,0.437,0.294,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.218,0.351,0.34
B935,0.53,0.592,0.634,0.7,0.534,0.7,0.7,0.572,0.575,0.459,0.624,0.515,0.296,0.204,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.212,0.268,0.497
B936,0.373,0.467,0.572,0.7,0.7,0.639,0.695,0.7,0.7,0.7,0.505,0.45,0.296,0.281,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.372,0.41
B937,0.537,0.355,0.64,0.7,0.699,0.7,0.7,0.7,0.7,0.7,0.664,0.413,0.272,0.273,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.218,0.354,0.446
B938,0.449,0.626,0.633,0.641,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.404,0.292,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.254,0.389
B939,0.498,0.614,0.577,0.7,0.7,0.7,0.7,0.7,0.7,0.517,0.504,0.4,0.415,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.289,0.457
B940,0.358,0.58,0.7,0.563,0.7,0.691,0.7,0.7,0.7,0.7,0.7,0.431,0.365,0.208,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.224,0.3,0.433
B941,0.46,0.494,0.7,0.7,0.7,0.7,0.626,0.605,0.57,0.644,0.461,0.6,0.362,0.283,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.224,0.23,0.481
B942,0.441,0.515,0.57,0.63,0.625,0.7,0.7,0.7,0.7,0.532,0.588,0.321,0.434,0.27,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.226,0.321,0.504
B943,0.424,0.476,0.579,0.7,0.7,0.564,0.7,0.671,0.7,0.587,0.65,0.41,0.357,0.295,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.379,0.513
B944,0.539,0.654,0.612,0.627,0.7,0.671,0.7,0.628,0.669,0.659,0.525,0.331,0.349,0.223,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.202,0.338,0.341
B945,0.298,0.482,0.526,0.681,0.7,0.7,0.7,0.7,0.7,0.601,0.663,0.584,0.33,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.333,0.464
B946,0.46,0.399,0.659,0.599,0.679,0.7,0.7,0.609,0.583,0.64,0.651,0.563,0.417,0.281,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.227,0.295,0.499
B947,0.448,0.47,0.592,0.643,0.687,0.7,0.642,0.7,0.7,0.7,0.451,0.314,0.351,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.258,0.274
B948,0.401,0.432,0.548,0.583,0.7,0.7,0.7,0.562,0.697,0.573,0.448,0.495,0.376,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.283,0.469
B949,0.485,0.626,0.7,0.7,0.7,0.7,0.571,0.7,0.7,0.7,0.642,0.486,0.41,0.287,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.339,0.506
B950,0.378,0.445,0.673,0.7,0.7,0.593,0.697,0.666,0.688,0.588,0.626,0.537,0.424,0.252,0.217,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.36,0.365
B951,0.256,0.633,0.62,0.7,0.7,0.7,0.7,0.7,0.674,0.7,0.579,0.355,0.28,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.291,0.494
B952,0.353,0.647,0.674,0.7,0.656,0.7,0.7,0.7,0.662,0.7,0.494,0.465,0.312,0.202,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.218,0.386,0.366
B953,0.388,0.555,0.646,0.544,0.659,0.7,0.7,0.7,0.7,0.593,0.457,0.465,0.377,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.241,0.406
B954,0.436,0.584,0.661,0.7,0.582,0.7,0.7,0.7,0.7,0.7,0.579,0.539,0.431,0.237,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.373,0.375
B955,0.463,0.417,0.487,0.7,0.658,0.7,0.7,0.7,0.63,0.7,0.474,0.543,0.382,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.256,0.288,0.442
